,ID,UniName,UniLocation,WikiURL
0,1,University of Exeter,"50.736111, -3.535",https://www.wikidata.org/wiki/Q1414861
1,2,University of Kansas,"38.9584, -95.2478",https://www.wikidata.org/wiki/Q52413
2,3,University of Leicester,"52.621389, -1.124444", https://www.wikidata.org/wiki/Q1333399
3,4,University of Bedfordshire,"51.877778, -0.411389",https://www.wikidata.org/wiki/Q3047150
4,5,Ulster University,"54.60361099243164, -5.928611278533936",
5,6,University of Strathclyde,"55.86171722412109, -4.241699695587158",
6,7,"Royal Holloway, University of London","51.42472076416016, -0.566944420337677",
7,7,University of Sussex,"50.86527633666992, -0.0855555534362793",
8,8,Swansea University,"51.60972213745117, -3.980555534362793",
9,9,Newcastle University,"54.97800064086914, -1.615000009536743",
10,10,University of Sussex,"50.86527633666992, -0.0855555534362793",
11,11,Swansea University,"51.60972213745117, -3.980555534362793",
12,12,Lancaster University,"54.01027679443359, -2.785555601119995",
13,13,University of East London,"51.50777816772461, 0.06361111253499985",
14,14,"Balliol College, Oxford","51.75469970703125, -1.257799983024597",
15,15,"Lucy Cavendish College, Cambridge","52.21120071411133, 0.1101000010967255",
16,15,Brunel University London,"51.53277587890625, -0.472777783870697",
17,16,University of Liverpool,"53.40599822998047, -2.967000007629395",
18,17,University of Hull,"53.770263671875, -0.3671410083770752",
19,18,University of Manchester,"53.46666717529297, -2.233333349227905",
20,19,Bangor University,"53.22890090942383, -4.130099773406982",
21,20,University of Sheffield,"53.38069915771484, -1.488800048828125",
22,21,King's College London,"51.51194381713867, -0.1161111146211624",
23,22,London School of Economics,"51.51388931274414, -0.116666667163372",
24,23,University of Sussex,"50.86527633666992, -0.0855555534362793",
25,24,Swansea University,"51.60972213745117, -3.980555534362793",
26,25,"Lincoln College, Oxford","51.75326156616211, -1.255905032157898",
27,26,University of Leeds,"53.80722045898438, -1.551666617393494",
28,27,Bangor University,"53.22890090942383, -4.130099773406982",
29,28,London School of Economics,"51.51388931274414, -0.116666667163372",
30,29,University of Buckingham,"51.99583435058594, -0.991944432258606",
31,29,Inner Temple,"51.51250076293945, -0.1089999973773956",
32,29,King's College London,"51.51194381713867, -0.1161111146211624",
33,30,"Hertford College, Oxford","51.75420379638672, -1.253466963768005",
34,31,University of Dundee,"56.45722198486328, -2.98027777671814",
35,32,University of Edinburgh,"55.9473876953125, -3.187194347381592",
36,32,Strathclyde Business School,"55.86100006103516, -4.244999885559082",
37,33,London School of Economics,"51.51388931274414, -0.116666667163372",
38,33,Harvard University,"42.37444305419922, -71.116943359375",
39,34,Durham University,"54.77500152587891, -1.575000047683716",
40,35,King's College London,"51.51194381713867, -0.1161111146211624",
41,36,De Montfort University,"52.63000106811523, -1.140499949455261",
42,37,University of Liverpool,"53.40599822998047, -2.967000007629395",
43,37,University of Salford,"53.48444366455078, -2.271389007568359",
44,38,University of Hull,"53.770263671875, -0.3671410083770752",
45,39,Lancaster University,"54.01027679443359, -2.785555601119995",
46,40,"University College, Durham","54.77553176879883, -1.576159954071045",
47,40,City Law School,"51.5272216796875, -0.1055555567145348",
48,41,University of Glasgow,"55.87194442749023, -4.287499904632568",
49,42,Columbia Business School,"40.80997848510742, -73.96096038818359",
50,42,"Downing College, Cambridge","52.20080184936523, 0.1247999966144562",
51,43,"Magdalen College, Oxford","51.75237274169922, -1.247076988220215",
52,43,"St Antony's College, Oxford","51.76314926147461, -1.262902975082397",
53,44,University of Warwick,"52.38000106811523, -1.56166660785675",
54,45,University of Hull,"53.770263671875, -0.3671410083770752",
55,45,University of Leeds,"53.80722045898438, -1.551666617393494",
56,46,Durham University,"54.77500152587891, -1.575000047683716",
57,47,Oxford Brookes University,"51.75426483154297, -1.222699999809265",
58,48,"Merton College, Oxford","51.75099945068359, -1.251999974250793",
59,49,University of Manchester,"53.46666717529297, -2.233333349227905",
60,50,London School of Economics,"51.51388931274414, -0.116666667163372",
61,51,Harper Adams University,"52.7796516418457, -2.427516937255859",
62,52,University of Glasgow,"55.87194442749023, -4.287499904632568",
63,53,University of Strathclyde,"55.86171722412109, -4.241699695587158",
64,54,University of Otago,"-45.86555480957031, 170.5138854980469",
65,55,York St John University,"53.96540069580078, -1.080672979354858",
66,56,Lancaster University,"54.01027679443359, -2.785555601119995",
67,57,"University College, Oxford","51.75249862670898, -1.251999974250793",
68,58,University of Reading,"51.44194412231445, -0.945555567741394",
69,59,University of Edinburgh,"55.9473876953125, -3.187194347381592",
70,60,University of Reading,"51.44194412231445, -0.945555567741394",
71,61,"Trinity College, Cambridge","52.20700073242188, 0.1146000027656555",
72,62,University of Sussex,"50.86527633666992, -0.0855555534362793",
73,63,"St John's College, Cambridge","52.20805740356445, 0.116666667163372",
74,64,Royal Agricultural University,"51.54305648803711, -1.995000004768372",
75,64,Royal Military Academy Sandhurst,"51.34027862548828, -0.7686111330986023",
76,65,"Hatfield College, Durham","54.77439880371094, -1.574100017547607",
77,66,University of Sheffield,"53.38069915771484, -1.488800048828125",
78,67,University of Exeter,"50.73611068725586, -3.535000085830688",
79,68,"St John's College, Cambridge","52.20805740356445, 0.116666667163372",
80,69,University of Manchester,"53.46666717529297, -2.233333349227905",
81,70,"Trinity College, Cambridge","52.20700073242188, 0.1146000027656555",
82,71,De Montfort University,"52.63000106811523, -1.140499949455261",
83,72,"Corpus Christi College, Cambridge","52.20309829711914, 0.1180000007152557",
84,73,"Royal Holloway, University of London","51.42472076416016, -0.566944420337677",
85,73,"Downing College, Cambridge","52.20080184936523, 0.1247999966144562",
86,74,London School of Economics,"51.51388931274414, -0.116666667163372",
87,75,University of Southampton,"50.93463134765625, -1.395949959754944",
88,76,London Metropolitan University,"51.55157470703125, -0.1106870025396347",
89,77,University of Birmingham,"52.45055389404297, -1.930555582046509",
90,78,University of Sussex,"50.86527633666992, -0.0855555534362793",
91,79,Durham University,"54.77500152587891, -1.575000047683716",
92,80,University of Bristol,"51.45639038085938, -2.60444450378418",
93,81,London School of Economics,"51.51388931274414, -0.116666667163372",
94,81,"Balliol College, Oxford","51.75469970703125, -1.257799983024597",
95,82,"St Hilda's College, Oxford","51.74916076660156, -1.245334029197693",
96,83,"St Edmund Hall, Oxford","51.75299835205078, -1.25",
97,84,University of East London,"51.50777816772461, 0.06361111253499985",
98,84,Marc Bloch University,"48.57949829101562, 7.764100074768066",
99,84,"Newnham College, Cambridge","52.19950103759766, 0.1076999977231026",
100,85,University of Oxford,"51.75500106811523, -1.254999995231628",
101,85,"St John's College, Oxford","51.75611877441406, -1.258605003356934",
102,86,University of Salford,"53.48444366455078, -2.271389007568359",
103,87,Queen's University Belfast,"54.58416748046875, -5.934722423553467",
104,88,"University College, Oxford","51.75249862670898, -1.251999974250793",
105,89,London School of Economics,"51.51388931274414, -0.116666667163372",
106,90,Lancaster University,"54.01027679443359, -2.785555601119995",
107,90,Open University,"52.02500152587891, -0.7055555582046509",
108,91,Ystrad Mynach College,"51.63459014892578, -3.240230083465576",
109,92,University of Glasgow,"55.87194442749023, -4.287499904632568",
110,93,"Exeter College, Oxford","51.75387191772461, -1.256046056747437",
111,94,Open University,"52.02500152587891, -0.7055555582046509",
112,95,"Birkbeck, University of London","51.52194595336914, -0.1302777826786041",
113,95,De Montfort University,"52.63000106811523, -1.140499949455261",
114,96,"Pembroke College, Cambridge","52.20199966430664, 0.119999997317791",
115,97,"Oriel College, Oxford","51.75189971923828, -1.25380003452301",
116,98,"University College, Durham","54.77553176879883, -1.576159954071045",
117,99,University of Edinburgh,"55.9473876953125, -3.187194347381592",
118,100,"St Catherine's College, Oxford","51.75706481933594, -1.245097994804382",
119,101,Aberystwyth University,"52.41806030273438, -4.065760135650635",
120,102,University of Kent,"51.29700088500977, 1.069000005722046",
121,103,University of Leeds,"53.80722045898438, -1.551666617393494",
122,103,University of Liverpool,"53.40599822998047, -2.967000007629395",
123,104,Durham University,"54.77500152587891, -1.575000047683716",
124,104,Northumbria University,"54.97639846801758, -1.608000040054321",
125,105,King's College London,"51.51194381713867, -0.1161111146211624",
126,106,King's College London,"51.51194381713867, -0.1161111146211624",
127,107,James Watt College,"55.94800186157227, -4.754000186920166",
128,108,Ulster University,"54.60361099243164, -5.928611278533936",
129,109,University of Bradford,"53.79166793823242, -1.762222170829773",
130,110,Leeds Beckett University,"53.80416488647461, -1.549444437026978",
131,111,Northumbria University,"54.97639846801758, -1.608000040054321",
132,111,Newcastle College,"54.96666717529297, -1.627777814865112",
133,112,"St Catharine's College, Cambridge","52.20280075073242, 0.1169999986886978",
134,113,University College London,"51.52472305297852, -0.1336111128330231",
135,114,Newcastle University,"54.97800064086914, -1.615000009536743",
136,115,University of Bristol,"51.45639038085938, -2.60444450378418",
137,115,City Law School,"51.5272216796875, -0.1055555567145348",
138,115,"Jesus College, Oxford","51.75339889526367, -1.256899952888489",
139,116,Open University,"52.02500152587891, -0.7055555582046509",
140,117,University of Nottingham,"52.93899917602539, -1.197000026702881",
141,118,University of Nottingham,"52.93899917602539, -1.197000026702881",
142,119,Newcastle University,"54.97800064086914, -1.615000009536743",
143,120,"Jesus College, Cambridge","52.20916748046875, 0.1233333349227905",
144,121,"Hughes Hall, Cambridge","52.20090103149414, 0.1324999928474426",
145,121,University of Bristol,"51.45639038085938, -2.60444450378418",
146,121,Britannia Royal Naval College,"50.35722351074219, -3.582777738571167",
147,121,"Dartmouth, Devon","50.35100173950195, -3.578999996185303",
148,122,University of Leeds,"53.80722045898438, -1.551666617393494",
149,122,University of York,"53.94659042358398, -1.052500009536743",
150,123,London School of Economics,"51.51388931274414, -0.116666667163372",
151,124,University of Exeter,"50.73611068725586, -3.535000085830688",
152,125,University of Glasgow,"55.87194442749023, -4.287499904632568",
153,125,University of Stirling,"56.14583206176758, -3.919444561004639",
154,126,"St John's College, Oxford","51.75611877441406, -1.258605003356934",
155,127,Stockport College,"53.40439987182617, -2.158699989318848",
156,128,University of Strathclyde,"55.86171722412109, -4.241699695587158",
157,129,Durham University,"54.77500152587891, -1.575000047683716",
158,130,Cardiff University,"51.48770141601562, -3.178999900817871",
159,130,University of Southampton,"50.93463134765625, -1.395949959754944",
160,131,"Hertford College, Oxford","51.75420379638672, -1.253466963768005",
161,132,University of Exeter,"50.73611068725586, -3.535000085830688",
162,133,University of Hull,"53.770263671875, -0.3671410083770752",
163,133,City Law School,"51.5272216796875, -0.1055555567145348",
164,134,University of Stirling,"56.14583206176758, -3.919444561004639",
165,135,University of Manchester,"53.46666717529297, -2.233333349227905",
166,135,"Lincoln College, Oxford","51.75326156616211, -1.255905032157898",
167,136,Royal Military Academy Sandhurst,"51.34027862548828, -0.7686111330986023",
168,137,University of Manchester,"53.46666717529297, -2.233333349227905",
169,137,Harvard Business School,"42.36722183227539, -71.12249755859375",
170,138,"St Catharine's College, Cambridge","52.20280075073242, 0.1169999986886978",
171,139,University of Glasgow,"55.87194442749023, -4.287499904632568",
172,139,University of Stirling,"56.14583206176758, -3.919444561004639",
173,139,University of Strathclyde,"55.86171722412109, -4.241699695587158",
174,140,Newcastle University,"54.97800064086914, -1.615000009536743",
175,141,"Queens' College, Cambridge","52.20190048217773, 0.1146999970078468",
176,142,Aberystwyth University,"52.41806030273438, -4.065760135650635",
177,143,Aberystwyth University,"52.41806030273438, -4.065760135650635",
178,144,University of Bradford,"53.79166793823242, -1.762222170829773",
179,144,University of Sussex,"50.86527633666992, -0.0855555534362793",
180,145,"Newnham College, Cambridge","52.19950103759766, 0.1076999977231026",
181,146,University of Exeter,"50.73611068725586, -3.535000085830688",
182,147,University of Roehampton,"51.45660018920898, -0.2431000024080276",
183,148,University of Manchester,"53.46666717529297, -2.233333349227905",
184,149,"Greyfriars, Oxford","51.74679946899414, -1.24016797542572",
185,150,University of Essex,"51.8763313293457, 0.9448699951171875",
186,151,University of Cambridge,"52.20527648925781, 0.1172222197055817",
187,151,London School of Economics,"51.51388931274414, -0.116666667163372",
188,152,University of Bristol,"51.45639038085938, -2.60444450378418",
189,152,London Business School,"51.52639007568359, -0.160833328962326",
190,153,"Corpus Christi College, Oxford","51.75090789794922, -1.253702044487",
191,154,Queen Mary University of London,"51.52299880981445, -0.03999999910593033",
192,155,"Queens' College, Cambridge","52.20190048217773, 0.1146999970078468",
193,156,University of Cambridge,"52.20527648925781, 0.1172222197055817",
194,157,University of Leeds,"53.80722045898438, -1.551666617393494",
195,158,University of Birmingham,"52.45055389404297, -1.930555582046509",
196,159,Queen's University Belfast,"54.58416748046875, -5.934722423553467",
197,160,University College London,"51.52472305297852, -0.1336111128330231",
198,161,Liverpool John Moores University,"53.40299987792969, -2.970000028610229",
199,162,University of Salford,"53.48444366455078, -2.271389007568359",
200,163,University of Edinburgh,"55.9473876953125, -3.187194347381592",
201,164,Newcastle University,"54.97800064086914, -1.615000009536743",
202,165,University of Warwick,"52.38000106811523, -1.56166660785675",
203,166,"City, University of London","51.52780151367188, -0.1023000031709671",
204,166,Loughborough University,"52.76833343505859, -1.22861111164093",
205,167,University of Exeter,"50.73611068725586, -3.535000085830688",
206,168,University of Nottingham,"52.93899917602539, -1.197000026702881",
207,169,University of Hull,"53.770263671875, -0.3671410083770752",
208,170,University of the Arts London,"51.51777648925781, -0.1163888871669769",
209,170,Loughborough University,"52.76833343505859, -1.22861111164093",
210,171,University of Salford,"53.48444366455078, -2.271389007568359",
211,172,Cardiff University,"51.48770141601562, -3.178999900817871",
212,172,Swansea University,"51.60972213745117, -3.980555534362793",
213,173,University of Edinburgh,"55.9473876953125, -3.187194347381592",
214,174,Open University,"52.02500152587891, -0.7055555582046509",
215,175,"Selwyn College, Cambridge","52.20119857788086, 0.1061000004410744",
216,176,Aberystwyth University,"52.41806030273438, -4.065760135650635",
217,177,University of Manchester,"53.46666717529297, -2.233333349227905",
218,178,Wye College,"51.18399810791016, 0.9389299750328064",
219,179,"Christ Church, Oxford","51.75019836425781, -1.255853056907654",
220,179,King's College London,"51.51194381713867, -0.1161111146211624",
221,180,"Magdalen College, Oxford","51.75237274169922, -1.247076988220215",
222,181,Cardiff University,"51.48770141601562, -3.178999900817871",
223,182,University of Nottingham,"52.93899917602539, -1.197000026702881",
224,183,University of Leeds,"53.80722045898438, -1.551666617393494",
225,184,"St Benet's Hall, Oxford","51.75795364379883, -1.260787010192871",
226,185,"Fitzwilliam College, Cambridge","52.21446990966797, 0.1048899963498116",
227,186,University College London,"51.52472305297852, -0.1336111128330231",
228,187,University of Aberdeen,"57.16500091552734, -2.099999904632568",
229,188,University of Leeds,"53.80722045898438, -1.551666617393494",
230,188,Nottingham Trent University,"52.95640182495117, -1.151999950408936",
231,189,University College London,"51.52472305297852, -0.1336111128330231",
232,190,University of Leeds,"53.80722045898438, -1.551666617393494",
233,190,University of Nottingham,"52.93899917602539, -1.197000026702881",
234,191,"St Benet's Hall, Oxford","51.75795364379883, -1.260787010192871",
235,192,"Balliol College, Oxford","51.75469970703125, -1.257799983024597",
236,193,"Trinity College, Oxford","51.75534439086914, -1.2569580078125",
237,194,University of Central Lancashire,"53.76300048828125, -2.70740008354187",
238,195,London School of Economics,"51.51388931274414, -0.116666667163372",
239,196,Royal Military Academy Sandhurst,"51.34027862548828, -0.7686111330986023",
240,196,Aberystwyth University,"52.41806030273438, -4.065760135650635",
241,196,King's College London,"51.51194381713867, -0.1161111146211624",
242,197,University of Stirling,"56.14583206176758, -3.919444561004639",
243,198,"King's College, Cambridge","52.20429992675781, 0.1162000000476837",
244,199,University of Edinburgh,"55.9473876953125, -3.187194347381592",
245,199,University of Oxford,"51.75500106811523, -1.254999995231628",
246,200,Nottingham Trent University,"52.95640182495117, -1.151999950408936",
247,201,"Jesus College, Oxford","51.75339889526367, -1.256899952888489",
248,202,"Christ Church, Oxford","51.75019836425781, -1.255853056907654",
249,203,University of York,"53.94659042358398, -1.052500009536743",
250,204,University of Hull,"53.770263671875, -0.3671410083770752",
251,204,University of Southampton,"50.93463134765625, -1.395949959754944",
252,205,Utrecht University,"52.08527755737305, 5.175000190734863",
253,206,"St Edmund Hall, Oxford","51.75299835205078, -1.25",
254,207,University of Exeter,"50.73611068725586, -3.535000085830688",
255,208,University of Birmingham,"52.45055389404297, -1.930555582046509",
256,209,Selby High School,"53.78070068359375, -1.078699946403503",
257,210,Swansea University,"51.60972213745117, -3.980555534362793",
258,211,"Christ Church, Oxford","51.75019836425781, -1.255853056907654",
259,212,Birmingham City University,"52.48222351074219, -1.888611078262329",
260,212,University of Leeds,"53.80722045898438, -1.551666617393494",
261,213,"Corpus Christi College, Cambridge","52.20309829711914, 0.1180000007152557",
262,214,University of Edinburgh,"55.9473876953125, -3.187194347381592",
263,215,London School of Economics,"51.51388931274414, -0.116666667163372",
264,215,"Magdalene College, Cambridge","52.21049880981445, 0.1164999976754189",
265,216,"Robinson College, Cambridge","52.20479965209961, 0.1046999990940094",
266,217,University of Buckingham,"51.99583435058594, -0.991944432258606",
267,218,University of Stirling,"56.14583206176758, -3.919444561004639",
268,219,University of York,"53.94659042358398, -1.052500009536743",
269,220,Desautels Faculty of Management,"45.50255966186523, -73.57643890380859",
270,220,"Lady Margaret Hall, Oxford","51.76483154296875, -1.254035949707031",
271,221,University of Sussex,"50.86527633666992, -0.0855555534362793",
272,222,University College London,"51.52472305297852, -0.1336111128330231",
273,222,Keele University,"53.00299835205078, -2.273000001907349",
274,223,University of Manchester,"53.46666717529297, -2.233333349227905",
275,224,Castlereagh College,"54.57799911499023, -5.894000053405762",
276,225,University College London,"51.52472305297852, -0.1336111128330231",
277,225,"Fitzwilliam College, Cambridge","52.21446990966797, 0.1048899963498116",
278,225,"Keble College, Oxford","51.7588996887207, -1.257714986801147",
279,226,University of Liverpool,"53.40599822998047, -2.967000007629395",
280,227,University of York,"53.94659042358398, -1.052500009536743",
281,228,University of North London,"51.55179977416992, -0.1106000021100044",
282,229,"Hertford College, Oxford","51.75420379638672, -1.253466963768005",
283,230,University of Exeter,"50.73611068725586, -3.535000085830688",
284,231,University of Edinburgh,"55.9473876953125, -3.187194347381592",
285,231,Cranfield University,"52.07333374023438, -0.6277777552604675",
286,232,University College London,"51.52472305297852, -0.1336111128330231",
287,232,"Merton College, Oxford","51.75099945068359, -1.251999974250793",
288,233,University of Birmingham,"52.45055389404297, -1.930555582046509",
289,234,University of Birmingham,"52.45055389404297, -1.930555582046509",
290,235,University of Manchester,"53.46666717529297, -2.233333349227905",
291,236,University of Hertfordshire,"51.75333404541016, -0.2438888847827911",
292,236,London College of Communication,"51.49468231201172, -0.1018805578351021",
293,237,University of Glasgow,"55.87194442749023, -4.287499904632568",
294,238,University of Sheffield,"53.38069915771484, -1.488800048828125",
295,239,Oxford Brookes University,"51.75426483154297, -1.222699999809265",
296,240,Imperial College London,"51.49835586547852, -0.1768939942121506",
297,241,London School of Economics,"51.51388931274414, -0.116666667163372",
298,242,University of Bath,"51.37960052490234, -2.328000068664551",
299,242,University of East Anglia,"52.62166595458984, 1.241666674613953",
300,243,University of Edinburgh,"55.9473876953125, -3.187194347381592",
301,244,University of East London,"51.50777816772461, 0.06361111253499985",
302,245,University of Nottingham,"52.93899917602539, -1.197000026702881",
303,246,University of Edinburgh,"55.9473876953125, -3.187194347381592",
304,247,University of Liverpool,"53.40599822998047, -2.967000007629395",
305,247,"Goldsmiths, University of London","51.47389984130859, -0.03539999946951866",
306,247,London Guildhall University,"51.5177001953125, -0.08829999715089798",
307,248,University of Bolton,"53.57361221313477, -2.435833215713501",
308,249,University of Kent,"51.29700088500977, 1.069000005722046",
309,250,Queen Mary University of London,"51.52299880981445, -0.03999999910593033",
310,251,"Newnham College, Cambridge","52.19950103759766, 0.1076999977231026",
311,252,London School of Economics,"51.51388931274414, -0.116666667163372",
312,253,University of Bristol,"51.45639038085938, -2.60444450378418",
313,253,King's College London,"51.51194381713867, -0.1161111146211624",
314,254,"Brasenose College, Oxford","51.75320434570312, -1.254731059074402",
315,255,Victoria University of Manchester,"53.46749877929688, -2.232500076293945",
316,255,Liverpool John Moores University,"53.40299987792969, -2.970000028610229",
317,256,University of Glasgow,"55.87194442749023, -4.287499904632568",
318,257,London South Bank University,"51.49813842773438, -0.1015399992465973",
319,258,University of Essex,"51.8763313293457, 0.9448699951171875",
320,258,Glasgow School of Art,"55.86612319946289, -4.263733386993408",
321,258,Glasgow Metropolitan College,"55.86259841918945, -4.248899936676025",
322,259,"Lady Margaret Hall, Oxford","51.76483154296875, -1.254035949707031",
323,260,University of Glasgow Medical School,"55.87200164794922, -4.288000106811523",
324,261,Queen's University Belfast,"54.58416748046875, -5.934722423553467",
325,262,University of Glasgow,"55.87194442749023, -4.287499904632568",
326,263,Newcastle University,"54.97800064086914, -1.615000009536743",
327,264,University of Sussex,"50.86527633666992, -0.0855555534362793",
328,264,Loughborough University,"52.76833343505859, -1.22861111164093",
329,265,King's College London,"51.51194381713867, -0.1161111146211624",
330,266,Swansea University,"51.60972213745117, -3.980555534362793",
331,267,University of Kent,"51.29700088500977, 1.069000005722046",
332,268,University of Hull,"53.770263671875, -0.3671410083770752",
333,269,Bangor University,"53.22890090942383, -4.130099773406982",
334,269,"Somerville College, Oxford","51.7590446472168, -1.262272000312805",
335,270,"Trinity Hall, Cambridge","52.2056999206543, 0.1156999990344048",
336,271,"Pembroke College, Cambridge","52.20199966430664, 0.119999997317791",
337,271,City Law School,"51.5272216796875, -0.1055555567145348",
338,272,University of Sheffield,"53.38069915771484, -1.488800048828125",
339,273,University of East Anglia,"52.62166595458984, 1.241666674613953",
340,274,London School of Economics,"51.51388931274414, -0.116666667163372",
341,275,Bedales School,"51.02027893066406, -0.9422222375869751",
342,275,London School of Economics,"51.51388931274414, -0.116666667163372",
343,276,University of Warwick,"52.38000106811523, -1.56166660785675",
344,276,Aston University,"52.48600006103516, -1.889500021934509",
345,277,"Magdalene College, Cambridge","52.21049880981445, 0.1164999976754189",
346,278,University of Oxford,"51.75500106811523, -1.254999995231628",
347,278,"Lincoln College, Oxford","51.75326156616211, -1.255905032157898",
348,279,University College London,"51.52472305297852, -0.1336111128330231",
349,280,Newcastle University,"54.97800064086914, -1.615000009536743",
350,281,Open University,"52.02500152587891, -0.7055555582046509",
